,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
57,Impact of the Use of CRP on the Prescription of Antibiotics in General Practitioners,RESPIRATORY INFECTION; RESPIRATORY INFECTIONS IN CHILDREN,"February 08, 2021",406,NCT03540706,CARE WITH C-REACTIVE PROTEIN ASSAY IN MICRO METHOD,FRANCE,Recruiting,Centre Hospitalier Intercommunal Creteil,"May 1, 2018",Interventional,Impact of the Use of C-reactive Protein in a Micro-method on the Prescription of Antibiotics in General Practitioners Consulting in the Office
58,Pre Bypass Ultrafiltration (PBUF) in Children Requiring Cardiopulmonary Bypass,CONGENITAL HEART DISEASE,"February 08, 2021",200,NCT03576534,USE OF PREBYPASS ULTRAFILTRATION (PBUF),UNITED STATES,Recruiting,Boston Children's Hospital,"October 3, 2019",Interventional,"Pre Bypass Ultrafiltration (PBUF) Improves Intraoperative Glucose, Sodium, Potassium and Lactate Levels in Children Requiring Cardiopulmonary Bypass"
59,Spinal Manipulation and Patient Self-Management for Preventing Acute to Chronic Back Pain,"ACUTE PAIN; LOW BACK PAIN, MECHANICAL","February 08, 2021",1180,NCT03581123,SUPPORTED-SELF MANAGEMENT (SSM); SPINAL MANIPULATION THERAPY (SMT); SMT + SSM; STANDARD MEDICAL CARE (SMC),UNITED STATES,Recruiting,University of Minnesota,"October 25, 2018",Interventional,Spinal Manipulation and Patient Self-Management for Preventing Acute to Chronic Back
60,Group Lifestyle Balance™ for Individuals With Traumatic Brain Injury (GLB-TBI),TRAUMATIC BRAIN INJURY,"February 08, 2021",57,NCT03594734,GROUP LIFESTYLE BALANCE™; ATTENTION CONTROL GROUP,UNITED STATES,"Active, not recruiting",Baylor Research Institute,"January 8, 2019",Interventional,Efficacy of an Evidence-based Weight-loss Intervention Post Traumatic Brain Injury
61,Identification of Cardiovascular and Molecular Prognostic Factors for the Mid- and Long-term Outcome of Sepsis,SEPSIS; SEPTIC CARDIOMYOPATHY; CARDIOMYOPATHIES,"February 08, 2021",290,NCT03620409,,GERMANY,Recruiting,Jena University Hospital,"May 9, 2018",Observational,Identification of Cardiovascular and Molecular Prognostic Factors for the Mid- and Long-term Outcome of Sepsis
62,"A Study to Evaluate the Safety, Tolerability, Preliminary Efficacy and Pharmacokinetics (PK) of TAK-981 in Adult Participants With Advanced or Metastatic Solid Tumors or Relapsed/Refractory Hematologic Malignancies and in a Subset With Coronavirus Disease 2019 (COVID-19)",NEOPLASMS; LYMPHOMA; HEMATOLOGIC NEOPLASMS; CORONAVIRUS DISEASE,"February 08, 2021",242,NCT03648372,TAK-981; STANDARD OF CARE,UNITED STATES,Recruiting,"Millennium Pharmaceuticals, Inc.","October 1, 2018",Interventional,"An Open Label, Dose-Escalation, Phase I Study to Evaluate the Safety, Tolerability, Preliminary Efficacy and Pharmacokinetics of TAK-981 in Adult Patients With Advanced or Metastatic Solid Tumors or Relapsed/Refractory Hematologic Malignancies and in a Subset With Coronavirus Disease 2019"
63,ACT1ON Phase 2 (SMART Pilot) and Phase 3 (Efficacy Trial Development),"DIABETES MELLITUS, TYPE 1; OVERWEIGHT AND OBESITY","February 08, 2021",69,NCT03651622,"HYPOCALORIC, LOW CARBOHYDRATE DIET; HYPOCALORIC, MODERATE LOW FAT DIET; MEDITERRANEAN DIET, NO CALORIC RESTRICTION",UNITED STATES,"Active, not recruiting","University of North Carolina, Chapel Hill","November 12, 2018",Interventional,Accelerating Solutions to Optimize Glycemic Control and Weight Management In Young Adults With Type 1 Diabetes
64,Lessening Organ Dysfunction With VITamin C,SEPSIS; VITAMIN C; INTENSIVE CARE UNIT; COVID; PANDEMIC; CORONAVIRUS,"February 08, 2021",800,NCT03680274,VITAMIN C; CONTROL,CANADA,Recruiting,Université de Sherbrooke,"November 8, 2018",Interventional,Lessening Organ Dysfunction With VITamin C (LOVIT)
65,Effects of Sleep Disruption on Drug Response,"LOW BACK PAIN, RECURRENT; HEALTHY","February 08, 2021",250,NCT03680287,WITHIN-SUBJECT TEST OF BLINDED STUDY MEDICATION,UNITED STATES,Recruiting,Johns Hopkins University,"October 7, 2019",Interventional,Effects of Sleep Disruption on Drug Response
66,Mindful Self Compassion for Combat Deployed Veterans With Moral Injury and Co-occurring PTSD-SUD,SUBSTANCE USE DISORDER; POST-TRAUMATIC STRESS DISORDER; MORAL INJURY,"February 08, 2021",24,NCT03681288,MINDFUL SELF-COMPASSION,UNITED STATES,"Active, not recruiting",VA Office of Research and Development,"May 21, 2019",Interventional,Mindful Self Compassion for Combat Deployed Veterans With Moral Injury and Co-occurring PTSD-SUD
67,Systematic Multi-domain Alzheimer's Risk Reduction Trial,DEMENTIA; ALZHEIMER DISEASE,"February 08, 2021",172,NCT03683394,SMARRT INTERVENTION; HEALTH EDUCATION INTERVENTION,UNITED STATES,"Active, not recruiting",Kaiser Permanente,"August 30, 2018",Interventional,Multidomain Alzheimers Risk Reduction Study (MARRS) Pilot
68,LTA Pilot Study of Glucarpidase in Patients With Central Nervous System Lymphoma - ARM A,CENTRAL NERVOUS SYSTEM LYMPHOMA,"February 08, 2021",44,NCT03684980,VORAXAZE; METHOTREXATE; RITUXIMAB; LEUCOVORIN; GLUCARPIDASE,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"November 14, 2018",Interventional,LTA Pilot Study of Glucarpidase in Patients With Central Nervous System Lymphoma
69,Prednisolone in Early Diffuse Systemic Sclerosis,SYSTEMIC SCLEROSIS,"February 08, 2021",72,NCT03708718,PREDNISOLONE 5 MG; PLACEBO ORAL CAPSULE; FROM AUGUST 2020 'NO ADDITIONAL TREATMENT',UNITED KINGDOM,Recruiting,Prof. Ariane herrick,"December 21, 2017",Interventional,"A Phase II Randomised Study of Oral Prednisolone in Early Diffuse Cutaneous Systemic Sclerosis (Initially Double-blind, Then Switched to Open-label Because of Covid-19)"
70,Project Health: Enhancing Effectiveness of a Dissonance-Based Obesity Prevention Program,OVERWEIGHT AND OBESITY,"February 08, 2021",450,NCT03710746,PROJECT HEALTH; RESPONSE AND ATTENTION TRAINING,UNITED STATES,Recruiting,Oregon Research Institute,"October 8, 2018",Interventional,Enhancing Effectiveness of a Dissonance-Based Obesity Prevention Program
71,Universal vs. Targeted School Screening for Adolescent Major Depressive Disorder,MAJOR DEPRESSIVE DISORDER; MAJOR DEPRESSIVE EPISODE,"February 08, 2021",12506,NCT03716869,UNIVERSAL SCREENING ARM,UNITED STATES,"Active, not recruiting",Milton S. Hershey Medical Center,"July 1, 2018",Interventional,Randomized Controlled Trial of Universal vs. Targeted School Screening for Adolescent Major Depressive Disorder
72,Back Side of the Moon: Nutritional Therapy,NUTRITIONAL DEFICIENCY; HOSPITALISM,"February 08, 2021",50,NCT03724045,BACK SIDE OF THE MOON,BELGIUM,Recruiting,Universitair Ziekenhuis Brussel,"January 1, 2019",Interventional,Back Side of the Moon Study: What is the Efficiency of Nutritional Therapy (Calories and Nitrogen) in ICU and on the Ward and What is the Metabolic Profile of Patients After ICU? Could Supplemental Nutrition Fill the Gap?
73,Lung Transplant G0 (LTGO): Improving Self-Management of Exercise After Lung Transplantation,EXERCISE; LUNG TRANSPLANTATION,"February 08, 2021",112,NCT03728257,LTGO-HOME BASED EXERCISE; ENHANCED USUAL CARE,UNITED STATES,Recruiting,University of Pittsburgh,"March 25, 2019",Interventional,Lung Transplant G0 (LTGO): Improving Self-Management of Exercise After Lung Transplantation
74,A Pragmatic Assessment of Influenza Vaccine Effectiveness in the DoD,INFLUENZA; INFLUENZA-LIKE ILLNESS,"February 08, 2021",15000,NCT03734237,EGG BASED INFLUENZA VACCINES; RECOMBINANT INFLUENZA VACCINES; CELL-CULTURE BASED INFLUENZA VACCINES,UNITED STATES,Recruiting,Henry M. Jackson Foundation for the Advancement of Military Medicine,"November 6, 2018",Interventional,A Pragmatic Assessment of Influenza Vaccine Effectiveness in the DoD
75,Addressing Post-Intensive Care Syndrome Among Survivors of COVID (APICS-COVID),POST INTENSIVE CARE SYNDROME,"February 08, 2021",200,NCT03738774,,UNITED STATES,Recruiting,Vanderbilt University Medical Center,"January 2, 2019",Observational,Addressing Post-Intensive Care Syndrome Among Survivors of COVID (APICS-COVID)
76,Overactive Bladder Syndrome: Incobotulinumtoxin Versus Onabotulinumtoxin,OVERACTIVE BLADDER SYNDROME,"February 08, 2021",140,NCT03758235,INCOBOTULINUMTOXINA 100 UNT INJECTION [XEOMIN]; ONABOTULINUMTOXINA 100 UNT [BOTOX],ITALY,"Active, not recruiting",University Of Perugia,"September 1, 2018",Interventional,Incobotulinumtoxin Versus Onabotulinumtoxin in the Treatment of Patients With Overactive Bladder Syndrome
77,Self-help Guided by Lay Providers for Anxiety in Older Adults,GENERALIZED ANXIETY DISORDER,"February 08, 2021",130,NCT03768544,SELF-HELP GUIDED BY A LAY PROVIDER; WAITING LIST WHERE PARTICIPANTS WAIT FOR DELAYED TREATMENT,CANADA,Recruiting,Laval University,"March 11, 2019",Interventional,Generalized Anxiety Disorder in Older Adults : Efficacy of a Self-help Treatment Guided by Trained Lay Providers
78,Exploring 'VOLITION' in Context - a Study to Inform the Implementation of a New Intervention,DECISION MAKING; AGED; MULTIMORBIDITY; GENERAL PRACTICE,"February 08, 2021",150,NCT03786315,,UNITED KINGDOM,Recruiting,University of Exeter,"January 4, 2021",Observational,Exploring 'VOLITION' in Context - a Study to Inform the Implementation of a New Intervention
79,CoYoT1 to California,TYPE 1 DIABETES MELLITUS,"February 08, 2021",80,NCT03793673,COYOT1 CARE; STANDARD CARE,UNITED STATES,"Active, not recruiting",Children's Hospital Los Angeles,"January 20, 2019",Interventional,CoYoT1 to California - Telemedicine to Engage Young Adults With Diabetes
80,"Movement-2-Music: Lakeshore Examination of Activity, Disability, and Exercise Response Study",SPINAL CORD INJURIES; TRAUMATIC BRAIN INJURY; SPINA BIFIDA; CEREBRAL PALSY; STROKE; PARKINSON DISEASE; MULTIPLE SCLEROSIS,"February 08, 2021",108,NCT03797378,EM2M,UNITED STATES,Recruiting,University of Alabama at Birmingham,"August 9, 2019",Interventional,"The M2M LEADERS Project: Lakeshore Examination of Activity, Disability, and Exercise Response Study (LEADERS)"
81,Efficacy and Safety Study of HLCM051(MultiStem®) for Pneumonic Acute Respiratory Distress Syndrome,"RESPIRATORY DISTRESS SYNDROME, ADULT","February 08, 2021",35,NCT03807804,HLCM051,JAPAN,Recruiting,Healios K.K.,"January 1, 2019",Interventional,"An Open-label, Standard Therapy as a Controlled, Multicenter Phase 2 Study to Evaluate the Efficacy and Safety of HLCM051(MultiStem) in Patients With Acute Respiratory Distress Syndrome (ARDS) Caused by Pneumonitis"
82,Phase III DAS181 Lower Tract PIV Infection in Immunocompromised Subjects (Substudy: DAS181 for COVID-19): RCT Study,LOWER RESPIRATORY TRACT INFECTION; PARAINFLUENZA; IMMUNOCOMPROMISED; COVID,"February 08, 2021",250,NCT03808922,DAS181; PLACEBO; DAS181 COVID-19; DAS181 OL,AUSTRALIA,Recruiting,"Ansun Biopharma, Inc.","May 23, 2019",Interventional,A Phase III Randomized Placebo-Controlled Study to Examine the Efficacy and Safety of DAS181 for the Treatment of Lower Respiratory Tract Parainfluenza Infection in Immunocompromised Subjects
83,Efficacy and Safety of DaxibotulinumtoxinA for Injection for the Treatment of Adult Upper Limb Spasticity,UPPER LIMB SPASTICITY,"February 08, 2021",83,NCT03821402,DAXI FOR INJECTION DOSE LOW DOSE; DAXI FOR INJECTION DOSE MEDIUM DOSE; DAXI FOR INJECTION DOSE HIGH DOSE; PLACEBO,UNITED STATES,Completed,"Revance Therapeutics, Inc.","December 12, 2018",Interventional,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Dose-Ranging, Multi-Center Trial to Evaluate the Efficacy and Safety of DaxibotulinumtoxinA for Injection for the Treatment of Upper Limb Spasticity in Adults After Stroke or Traumatic Brain Injury"
84,Evaluating the Impact of a Culinary Coaching Tele-medicine Program,OVERWEIGHT; OBESITY,"February 08, 2021",78,NCT03823469,CCTP; NUTRITIONAL COUNSELING,ISRAEL,Recruiting,Spaulding Rehabilitation Hospital,"May 20, 2019",Interventional,Evaluating the Impact of a Culinary Coaching Telemedicine Program on Body Weight and Metabolic Outcomes - A Randomized Controlled Trial
85,RECONsolidation of Traumatic Memories to ResOLve Post Traumatic Stress Disorder (RECONTROLPTSD),POSTTRAUMATIC STRESS DISORDER; TRAUMATIC BRAIN INJURY,"February 08, 2021",108,NCT03827057,RECONSOLIDATION OF TRAUMATIC MEMORIES (RTM); PROLONGED EXPOSURE (PE),UNITED STATES,Recruiting,Uniformed Services University of the Health Sciences,"June 12, 2019",Interventional,RECONsolidation of Traumatic Memories to ResOLve Post Traumatic Stress Disorder (RECONTROLPTSD)
86,Peer Mentoring to Improve Self-management in Youth With IBD,PEDIATRIC CROHNS DISEASE; PEDIATRIC ULCERATIVE COLITIS; INFLAMMATORY BOWEL DISEASES,"February 08, 2021",300,NCT03827109,GROUP EDUCATIONAL ACTIVITIES; IBD EDUCATIONAL WEBSITE; MONTHLY CHECK-IN CALLS FROM PROGRAM COORDINATOR; MENTOR; FUN GROUP ACTIVITIES; PARENT SUPPORT GROUP,UNITED STATES,Recruiting,Laura Mackner,"June 12, 2019",Interventional,Peer Mentoring to Improve Self-management in Youth With IBD
87,Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia,PNEUMONIA,"February 08, 2021",90,NCT03852537,METHYLPREDNISOLONE; USUAL CARE,UNITED STATES,Recruiting,Mayo Clinic,"December 2, 2019",Interventional,SMART Trial: Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia
88,Azithromycin-Prevention in Labor Use Study (A-PLUS),MATERNAL DEATH; MATERNAL INFECTIONS AFFECTING FETUS OR NEWBORN; NEONATAL SEPSIS; MATERNAL SEPSIS DURING LABOR; NEONATAL DEATH; POSTPARTUM SEPSIS,"February 08, 2021",34000,NCT03871491,AZITHROMYCIN; PLACEBO,BANGLADESH,Recruiting,NICHD Global Network for Women's and Children's Health,"September 1, 2020",Interventional,Prevention of Maternal and Neonatal Death/Infections With a Single Oral Dose of Azithromycin in Women in Labor (in Low- and Middle-income Countries): a Randomized Controlled Trial
89,Group Lifestyle Balance™ for Individuals With Stroke (GLB-CVA),STROKE,"February 08, 2021",65,NCT03873467,GROUP LIFESTYLE BALANCE; USUAL CARE,UNITED STATES,"Active, not recruiting",Baylor Research Institute,"July 8, 2019",Interventional,Efficacy of an Evidence-based Healthy Lifestyle Intervention for People Following CVA
90,Patient Centered Intervention to Prevent Tuberculosis Among Children Under Five Years Old,"TUBERCULOSIS; PEDIATRIC ALL; BEHAVIOR, HEALTH","February 08, 2021",300,NCT03881228,INCREASING THE COMPLETION OF IPT,PERU,Recruiting,Universidad Peruana Cayetano Heredia,"December 1, 2019",Interventional,Patient Centered Intervention to Prevent Tuberculosis Among Children Under Five Years Old Who Are Household Contacts of Persons With Tuberculosis
91,Presumptively Initiating Vaccines and Optimizing Talk With Motivational Interviewing (PIVOT With MI),PREVENTIVE HEALTH SERVICES (PREV HEALTH SERV),"February 08, 2021",1000,NCT03885232,EXPERIMENTAL: PIVOT WITH MI; ACTIVE COMPARATOR: CONTROL,UNITED STATES,Enrolling by invitation,"University of Colorado, Denver","September 1, 2019",Interventional,Presumptively Initiating Vaccines and Optimizing Talk With Motivational Interviewing (PIVOT With MI)
92,"A Study to Evaluate the Safety, Pharmacokinetics and Antiviral Effects of Galidesivir in Yellow Fever or COVID-19",COVID; YELLOW FEVER,"February 08, 2021",132,NCT03891420,GALIDESIVIR; PLACEBO,BRAZIL,Recruiting,BioCryst Pharmaceuticals,"April 9, 2020",Interventional,"A Phase 1b Double-blind, Placebo-controlled, Dose-ranging Study to Evaluate the Safety, Pharmacokinetics, and Anti-viral Effects of Galidesivir Administered Via Intravenous Infusion to Subjects With Yellow Fever or COVID-19"
93,Reducing Hopelessness Through Improved Physical Activity in Adults With Heart Disease: With COVID-19 Considerations,ISCHEMIC HEART DISEASE; HOPELESSNESS; PHYSICAL ACTIVITY; MOTIVATION; SOCIAL SUPPORT; COVID,"February 08, 2021",225,NCT03907891,MOTIVATIONAL SOCIAL SUPPORT FROM NURSE; MOTIVATIONAL SOCIAL SUPPORT FROM NURSE WITH ADDITIONAL SUPPORT FROM SIGNIFICANT OTHER; ATTENTION CONTROL,UNITED STATES,Recruiting,University of Illinois at Chicago,"August 1, 2019",Interventional,A Randomized Controlled Trial to Reduce Hopelessness Through Enhanced Physical Activity in Adults With Ischemic Heart Disease
94,A Sports Injury Prevention Program to Reduce Subsequent Injuries After Concussion,BRAIN CONCUSSION; MUSCULOSKELETAL INJURY; LOCOMOTION; POSTURAL BALANCE,"February 08, 2021",40,NCT03917290,NEUROMUSCULAR TRAINING,UNITED STATES,Recruiting,"University of Colorado, Denver","April 2, 2019",Interventional,A Sports Injury Prevention Program to Reduce Subsequent Injuries After Concussion
95,Navigating New Motherhood 2,POSTPARTUM HEALTH; BREASTFEEDING; CONTRACEPTION; PREVENTIVE CARE / ANTICIPATORY GUIDANCE; RETENTION IN CARE,"February 08, 2021",400,NCT03922334,PATIENT NAVIGATION PROGRAM,UNITED STATES,Recruiting,Northwestern University,"January 21, 2020",Interventional,Navigating New Motherhood 2: Patient Navigation to Improve Outcomes Among Low-income Women in the Postpartum Period
96,Improving Exercise Capacity With Tailored Physical Activity in Lymphoma & Breast Cancer Patients Undergoing Tx,HODGKIN LYMPHOMA; NON-HODGKIN LYMPHOMA; LYMPHOMA; BREAST CANCER,"February 08, 2021",18,NCT03923504,PHYSICAL ACTIVITY INTERVENTION (PAI); HEALTHY LIVING CONTROL,UNITED STATES,Recruiting,Virginia Commonwealth University,"May 10, 2019",Interventional,Improving Exercise Capacity With a Tailored Physical Activity Intervention in Lymphoma and Breast Cancer Patients Undergoing Treatment
97,Outcomes Mandate National Integration With Cannabis as Medicine for Prevention and Treatment of COVID-19,CHRONIC PAIN; CHRONIC PAIN SYNDROME; CHRONIC PAIN DUE TO INJURY; CHRONIC PAIN DUE TO TRAUMA; FIBROMYALGIA; SEIZURES; HEPATITIS C; CANCER; CROHN DISEASE; HIV/AIDS; MULTIPLE SCLEROSIS; TRAUMATIC BRAIN INJURY; SICKLE CELL DISEASE; POST TRAUMATIC STRESS DISORDER; TOURETTE SYNDROME; ULCERATIVE COLITIS; GLAUCOMA; EPILEPSY; INFLAMMATORY BOWEL DISEASES; PARKINSON DISEASE; AMYOTROPHIC LATERAL SCLEROSIS; CHRONIC TRAUMATIC ENCEPHALOPATHY; ANXIETY; DEPRESSION; INSOMNIA; AUTISM; OPIOID-USE DISORDER; BIPOLAR DISORDER; COVID; SARS-COV INFECTION; COVID; CORONAVIRUS INFECTION; CORONAVIRUS,"February 08, 2021",200000,NCT03944447,"CANNABIS, MEDICAL",UNITED STATES,Recruiting,"OMNI Medical Services, LLC","December 1, 2018",Interventional,Outcomes Mandate National Integration With Cannabis as Medicine for Prevention and Treatment of COVID-19
98,Taking Time to Connect: A Study of Programs for Hispanic Mothers Diagnosed With Cancer and Their Children,CANCER SURVIVORSHIP,"February 08, 2021",156,NCT03951454,CONEXIONES; TAKING TIME,UNITED STATES,Enrolling by invitation,New Mexico State University,"April 16, 2019",Interventional,Taking Time to Connect: A Randomized Clinical Trial for Hispanic Mothers Diagnosed With Cancer
99,Effects of Physical Exercise on Postmenopausal Risk Factors in Women With Osteopenia,"OSTEOPENIA, OSTEOPOROSIS","February 08, 2021",27,NCT03959995,HIGH INTENSITY RESISTANCE (HIT-RT) AND ENDURANCE EXERCISE (HIIT); WELLNESS,GERMANY,Completed,University of Erlangen-Nürnberg Medical School,"January 15, 2019",Interventional,Effects of an Optimized 13-month Physical Exercise on (Early)-Postmenopausal Risk Factors in Women With Osteopenia and Osteoporosis (Actlife)
