,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
89,STROKE,"February 08, 2021",65,NCT03873467,GROUP LIFESTYLE BALANCE,UNITED STATES,"Active, not recruiting",Baylor Research Institute,"July 8, 2019",Interventional,Efficacy of an Evidence-based Healthy Lifestyle Intervention for People Following CVA,Unrelated
90,TUBERCULOSIS,"February 08, 2021",300,NCT03881228,INCREASING THE COMPLETION OF IPT,PERU,Recruiting,Universidad Peruana Cayetano Heredia,"December 1, 2019",Interventional,Patient Centered Intervention to Prevent Tuberculosis Among Children Under Five Years Old Who Are Household Contacts of Persons With Tuberculosis,Unrelated
91,PREVENTIVE HEALTH SERVICES (PREV HEALTH SERV),"February 08, 2021",1000,NCT03885232,EXPERIMENTAL: PIVOT WITH MI,UNITED STATES,Enrolling by invitation,"University of Colorado, Denver","September 1, 2019",Interventional,Presumptively Initiating Vaccines and Optimizing Talk With Motivational Interviewing (PIVOT With MI),Unrelated
92,COVID,"February 08, 2021",132,NCT03891420,GALIDESIVIR,BRAZIL,Recruiting,BioCryst Pharmaceuticals,"April 9, 2020",Interventional,"A Phase 1b Double-blind, Placebo-controlled, Dose-ranging Study to Evaluate the Safety, Pharmacokinetics, and Anti-viral Effects of Galidesivir Administered Via Intravenous Infusion to Subjects With Yellow Fever or COVID-19",COVID
93,ISCHEMIC HEART DISEASE,"February 08, 2021",225,NCT03907891,MOTIVATIONAL SOCIAL SUPPORT FROM NURSE,UNITED STATES,Recruiting,University of Illinois at Chicago,"August 1, 2019",Interventional,A Randomized Controlled Trial to Reduce Hopelessness Through Enhanced Physical Activity in Adults With Ischemic Heart Disease,Unrelated
94,BRAIN CONCUSSION,"February 08, 2021",40,NCT03917290,NEUROMUSCULAR TRAINING,UNITED STATES,Recruiting,"University of Colorado, Denver","April 2, 2019",Interventional,A Sports Injury Prevention Program to Reduce Subsequent Injuries After Concussion,Unrelated
95,POSTPARTUM HEALTH,"February 08, 2021",400,NCT03922334,PATIENT NAVIGATION PROGRAM,UNITED STATES,Recruiting,Northwestern University,"January 21, 2020",Interventional,Navigating New Motherhood 2: Patient Navigation to Improve Outcomes Among Low-income Women in the Postpartum Period,Unrelated
96,HODGKIN LYMPHOMA,"February 08, 2021",18,NCT03923504,PHYSICAL ACTIVITY INTERVENTION (PAI),UNITED STATES,Recruiting,Virginia Commonwealth University,"May 10, 2019",Interventional,Improving Exercise Capacity With a Tailored Physical Activity Intervention in Lymphoma and Breast Cancer Patients Undergoing Treatment,Unrelated
97,CHRONIC PAIN,"February 08, 2021",200000,NCT03944447,"CANNABIS, MEDICAL",UNITED STATES,Recruiting,"OMNI Medical Services, LLC","December 1, 2018",Interventional,Outcomes Mandate National Integration With Cannabis as Medicine for Prevention and Treatment of COVID-19,Unrelated
98,CANCER SURVIVORSHIP,"February 08, 2021",156,NCT03951454,CONEXIONES,UNITED STATES,Enrolling by invitation,New Mexico State University,"April 16, 2019",Interventional,Taking Time to Connect: A Randomized Clinical Trial for Hispanic Mothers Diagnosed With Cancer,Unrelated
99,"OSTEOPENIA, OSTEOPOROSIS","February 08, 2021",27,NCT03959995,HIGH INTENSITY RESISTANCE (HIT-RT) AND ENDURANCE EXERCISE (HIIT),GERMANY,Completed,University of Erlangen-Nürnberg Medical School,"January 15, 2019",Interventional,Effects of an Optimized 13-month Physical Exercise on (Early)-Postmenopausal Risk Factors in Women With Osteopenia and Osteoporosis (Actlife),Unrelated
100,ARDS,"February 08, 2021",740,NCT03963622,RESPIRATORY MECHANICS,CANADA,Recruiting,Unity Health Toronto,"November 23, 2020",Interventional,Careful Ventilation in Acute Respiratory Distress Syndrome,Unrelated
101,CARDIOTOXICITY,"February 08, 2021",340,NCT03964142,CARDIAC REHABILITATION,SPAIN,Recruiting,Hospital Clinico Universitario de Santiago,"August 1, 2018",Interventional,Randomized Controlled Trial on Comprehensive Exercise-based Cardiac Rehabilitation Programs for the Prevention of Anthracyclines and/or Anti-HER2 Antibodies-induced Cardiotoxicity in Breast Cancer,Unrelated
102,MENTAL ILLNESS,"February 08, 2021",600,NCT03966872,INTEGRATED ILLNESS MANAGEMENT AND RECOVERY,UNITED STATES,"Active, not recruiting",Dartmouth-Hitchcock Medical Center,"September 2, 2019",Interventional,Comparative Effectiveness of Integrated Illness Management and Recovery Versus the Chronic Disease Self-Management Program,Unrelated
103,DIABETES,"February 08, 2021",1139,NCT03983733,DIETARY INTERVENTION,UNITED STATES,Completed,Zoe Global Limited,"June 10, 2019",Interventional,PREDICT 2: Personalized Responses to Dietary Composition Trial 2,Unrelated
104,TEMPOROMANDIBULAR DISORDERS,"February 08, 2021",100,NCT03990662,PHYSIOTHERAPY - MANUAL THERAPY,ITALY,Recruiting,Istituto Stomatologico Italiano,"June 14, 2019",Observational,Predictors of Pain Reduction Following Manual Therapy in Patients With Temporomandibular Disorders: a Prospective Observational Study,Unrelated
105,MUSCULOSKELETAL PAIN,"February 08, 2021",1000,NCT04000035,HEALTH AND WORK ENVIRONMENT INFORMATION AND PROCESSES,NORWAY,Recruiting,University Hospital of North Norway,"March 1, 2019",Interventional,HealthAtWork - a Measure for Increased Coping and Work Inclusion - An Analysis of Effect of Preventive Information Given at the Workplace - Part 1: Quantitative Data Collection,Unrelated
106,EPILEPSY IN CHILDREN,"February 08, 2021",100,NCT04020484,MAKING MINDFULNESS MATTER© (M3),CANADA,Recruiting,Lawson Health Research Institute,"December 2, 2019",Interventional,A Live-Online Mindfulness-based Intervention for Families of Children With Epilepsy: Making Mindfulness Matter© Randomized Control Trial,Unrelated
107,ALCOHOL MISUSE,"February 08, 2021",770,NCT04025151,ALCOHOL BRIEF INTERVENTION,HONG KONG,Not yet recruiting,The University of Hong Kong,"September 30, 2020",Interventional,Nurse-led Alcohol Brief Intervention Plus Mobile Personalized Chat-based Support on Reducing Alcohol Use in University Students: a Pragmatic Randomized Controlled Trial,Unrelated
108,HEALTHY VOLUNTEER,"February 08, 2021",300,NCT04025580,FLUCELVAX,UNITED STATES,Recruiting,National Institute of Allergy and Infectious Diseases (NIAID),"October 2, 2019",Interventional,Systems Analyses of the Immune Response to the Seasonal Influenza Vaccine,Unrelated
109,ANXIETY DISORDERS,"February 08, 2021",59,NCT04026152,RESISTANCE TRAINING,CANADA,Completed,University of Regina,"July 14, 2019",Interventional,Using the Unified Protocol to Reduce Exercise Anxiety and Improve Adherence to a Resistance Training Program for People With Anxiety-Related Disorders: A Randomized Controlled Trial,Unrelated
110,AGING,"February 08, 2021",1459,NCT04029194,ASSISTANCE WITH OLD AGE PENSION APPLICATION,INDIA,"Active, not recruiting","National Bureau of Economic Research, Inc.","February 4, 2019",Interventional,The Causal Effects of Old Age Pensions,Unrelated
111,METABOLIC SYNDROME,"February 08, 2021",64,NCT04039165,PP-MI INTERVENTION,UNITED STATES,Recruiting,Massachusetts General Hospital,"July 25, 2019",Interventional,Developing a Positive Psychology Intervention to Promote Health Behaviors in Metabolic Syndrome: A Randomized Controlled Pilot Trial,Unrelated
112,ANXIETY DISORDER OF CHILDHOOD,"February 08, 2021",90,NCT04039243,BEING BRAVE,UNITED STATES,Recruiting,Massachusetts General Hospital,"September 27, 2019",Interventional,Addressing Anxiety in 2-Year-Olds: A Pilot Screening and Intervention Study,Unrelated
113,TRICHURIS INFECTION,"February 08, 2021",176,NCT04041453,IVERMECTIN,ARGENTINA,Completed,Alejandro Krolewiecki,"October 9, 2019",Interventional,"Prospective, Parallel-group, Open-label Randomized Controlled Trial of Four Treatment Regimes for Trichuriasis in Pediatric Patients",Unrelated
114,DEMENTIA,"February 08, 2021",312,NCT04043364,LIVE,NORWAY,Recruiting,University of Bergen,"August 1, 2019",Interventional,"LIVE@Home.Path: a Mixed Method, Stepped Wedge and Randomized Controlled Trial Innovating the Clinical Pathway for Home-dwelling Persons With Dementia and Their Families",Unrelated
115,ALZHEIMER DISEASE,"February 08, 2021",15,NCT04055376,GENUS DEVICE (ACTIVE SETTINGS),UNITED STATES,"Active, not recruiting",Massachusetts Institute of Technology,"August 14, 2019",Interventional,Chronic Treatment of Alzheimer's Disease With Gamma Frequency Stimulation,Unrelated
116,CANCER,"February 08, 2021",180,NCT04055948,ONE-ON-ONE TEACHING SESSIONS,UNITED STATES,Recruiting,Case Comprehensive Cancer Center,"December 1, 2019",Interventional,Building Family Caregiver Skills Using a Simulation-Based Intervention for Care of Patients With Cancer,Unrelated
117,SEROGROUP C MENINGOCOCCAL MENINGITIS,"February 08, 2021",3800,NCT04061382,VENEPUNCTURE,UNITED KINGDOM,Recruiting,University of Oxford,"October 15, 2019",Observational,Serum Testing of Representative Youngsters: Sero- Epidemiological Survey of England in 2019/2020,Unrelated
118,AGING PROBLEMS,"February 08, 2021",200,NCT04061785,JUDO4BALANCE - 12 WEEK JUDO INSPIRED EXERCISE PROGRAM,SWEDEN,Recruiting,Dalarna University,"September 30, 2019",Interventional,Impact of Skills Acquired Through Judo Training on Risk Factors for Falling in Elderly Men and Women,Unrelated
119,AGING,"February 08, 2021",60,NCT04068922,RESILIENCE INTERVENTION,UNITED STATES,Recruiting,University of Florida,"January 21, 2020",Interventional,Adaptability and Resilience in Aging Adults-2,Unrelated
120,CHRONIC PAIN,"February 08, 2021",64,NCT04091893,USUAL CARE/WAIT LIST,UNITED STATES,"Active, not recruiting","University of California, Davis","October 12, 2019",Interventional,The Analgesic Museum: The Development and Effectiveness of Museum-Based Experiences to Reduce Social Isolation and Pain Among Individuals With Chronic Pain,Unrelated
121,SEPTIC SHOCK,"February 08, 2021",150,NCT04107402,"ASSESSMENT OF COAGULOPATHY, PLATELETS ACTIVATION AND PLATELETS-NEUTROPHILS INTERPLAY",BELGIUM,Recruiting,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,"March 15, 2019",Interventional,Prospective Evaluation of PLatelets Acetyl-CoA Carboxylase Phosphorylation State in SEPtic Shock Patients. Impact of Platelets Metabolism to Inflammatory Response.,Unrelated
122,INPATIENTS,"February 08, 2021",2000,NCT04114110,RTLS DATA,UNITED KINGDOM,"Active, not recruiting",The Royal Wolverhampton Hospitals NHS Trust,"January 6, 2020",Observational,"A Retrospective, Observational Analysis Using Real Time Location Systems (RTLS) Technology to Explore the Effects of Clinical Staffing on Hospital Productivity and Patient Health Outcomes",Unrelated
123,CANCER,"February 08, 2021",466,NCT04136340,IN-PERSON IN CLINIC FOLLOW-UP VISIT,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"October 24, 2019",Interventional,Virtual Visits by Supportive Care Specialists to Cancer Patients at Home: A Randomized Controlled Pilot Noninferiority Trial of Video Telemedicine,Unrelated
124,INSOMNIA,"February 08, 2021",120,NCT04144231,ICBT-I,FINLAND,Recruiting,Helsinki University Central Hospital,"December 19, 2019",Interventional,Cognitive Behavioral Therapy for Insomnia (CBT-I) in Schizophrenia - A Randomized Controlled Clinical Trial (SLEEPINS),Unrelated
125,B CELL ALL,"February 08, 2021",90,NCT04148430,ANAKINRA,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"October 30, 2019",Interventional,A Phase II Study of IL-1 Receptor Antagonist Anakinra to Prevent Severe Neurotoxicity and Cytokine Release Syndrome in Patients Receiving CD19-Specific Chimeric Antigen Receptor (CAR) T Cells And to Treat Systemic Inflammation Associated With COVID-19,Unrelated
126,PERINATAL DEPRESSION,"February 08, 2021",1368,NCT04153864,BRIEF BEHAVIORAL ACTIVATION TREATMENT,CANADA,Recruiting,"Mount Sinai Hospital, Canada","January 6, 2020",Interventional,Scaling Up Maternal Mental Health Care by Increasing Access to Treatment (SUMMIT): A Study Protocol for Perinatal Depression and Anxiety,Unrelated
127,EXPOSURE TO HERBICIDES,"February 08, 2021",40,NCT04155463,ORGANIC DIET,,Not yet recruiting,Boise State University,January 2021,Interventional,Measurement of Agricultural and Dietary Glyphosate Exposure Among Pregnant Women,Unrelated
128,ANXIETY DISORDERS,"February 08, 2021",54,NCT04157296,COGNITIVE BEHAVIORAL THERAPY (CBT),UNITED STATES,Recruiting,University of Michigan,"February 4, 2020",Interventional,Neurally Targeted Cognitive Training to Augment Cognitive Behavioral Therapy (CBT) Outcomes in Pediatric Anxiety,Unrelated
129,"FLU, HUMAN","February 08, 2021",3350,NCT04160975,VIDEO ABOUT SAFETY AND EFFECTIVENESS OF ADULT SEASONAL FLU VACCINATION,UNITED STATES,Enrolling by invitation,Harvard University,"December 20, 2019",Interventional,Persuasion in Medicine: Experimental Evidence on Sender and Signal Effects,Respiratory
130,MALNUTRITION,"February 08, 2021",586,NCT04168814,OBSERVATIONAL TEST,SPAIN,Completed,Universidad Pontificia Comillas,"June 10, 2020",Observational,An Observational Study of the Nutritional Status in Locally Advanced or Metastatic Solid Cancer Patients While Receiving Immunotherapy in Spain: the NutriOncoSearch (NOS) Study,Unrelated
131,BREAST DUCTAL CARCINOMA IN SITU,"February 08, 2021",600,NCT04169542,QUESTIONNAIRE ADMINISTRATION,UNITED STATES,Recruiting,M.D. Anderson Cancer Center,"May 21, 2019",Observational,"Potential Impact of the COVID -19 Pandemic on Financial Toxicity in Breast Cancer Surgical Patients: The Impact on Out of Pocket Costs, Lost Wages and Economic Strain",Unrelated
132,AUTISM SPECTRUM DISORDER,"February 08, 2021",180,NCT04173663,ASSIST,UNITED STATES,"Active, not recruiting",Vanderbilt University Medical Center,"January 3, 2020",Interventional,Project ASSIST: Advocating for Supports to Improve Service Transitions,Unrelated
133,PSYCHOTIC DISORDERS,"February 08, 2021",44,NCT04180709,SLEEPIO,UNITED KINGDOM,Recruiting,University of Cambridge,"October 30, 2020",Interventional,Randomised Study of Web-based CBT Intervention (Sleepio) to Reduce Insomnia and Improve Social Recovery in Early Psychosis (CRISP),Unrelated
134,ABORTION,"February 08, 2021",100,NCT04181021,VALUES CLARIFICATION AND ATTITUDES TRANSFORMATION (VCAT) WORKSHOP,ETHIOPIA,Enrolling by invitation,Ibis Reproductive Health,"November 25, 2019",Interventional,Evaluation of Values Clarification and Attitude Transformation Workshops on Abortion and Family Planning Service Provision and Client Experience in Socially Franchised Facilities in Ethiopia: A Cluster Randomized Study,Unrelated
135,ALLERGIC TO HOUSE DUST MITES,"February 08, 2021",28,NCT04184895,ASP2390,GERMANY,Recruiting,"Astellas Pharma Global Development, Inc.","October 7, 2020",Interventional,"A Phase 1 Multiple Ascending Intradermal Dose Study to Assess the Safety, Tolerability and Immunological Response of ASP2390 in Adult Subjects Allergic to House Dust Mites",Unrelated
136,UVEITIS,"February 08, 2021",300,NCT04193020,SURVEILLANCE CARD,POLAND,Recruiting,Wroclaw Medical University,"January 1, 2020",Observational [Patient Registry],Impact of Lifestyle and Treatment on the Recurrency and Severity of Acute and Chronic Inflamatory Eye Diseases: Protocol on Prospective Cohort Study,Unrelated
137,NIPAH VIRUS INFECTION,"February 08, 2021",274,NCT04199169,HEV-SG-V,UNITED STATES,Recruiting,Auro Vaccines LLC,"February 18, 2020",Interventional,"A Phase 1 Randomized, Placebo-controlled, Observer-blind Trial to Assess the Safety and Immunogenicity of a Nipah Vaccine, HeV-sG-V (Hendra Virus Soluble Glycoprotein Vaccine), in Healthy Adults",Unrelated
138,CRITICAL LIMB ISCHEMIA,"February 08, 2021",300,NCT04209998,TRANSCUTANEOUS OXIMETRY,FRANCE,Recruiting,"University Hospital, Angers","January 16, 2020",Observational,"New Oxymetry Indices in Critical Limb Ischemia (French Original Title is ""Nouveaux Indices Oxymétriques Chez Les Patients Vus Pour Suspicion d'Ischémie Critique du membrE inférieur"")",Unrelated
139,PHYSICAL DISABILITY,"February 08, 2021",70,NCT04212442,INDEPENDENT LIVING PROGRAM FOR AFFORDABLE HOUSING.,UNITED STATES,Recruiting,University of Pennsylvania,"January 13, 2020",Interventional,Improving Aging in Place for Older Adults in Subsidized Housing,Unrelated
140,ACUTE CORONARY SYNDROME,"February 08, 2021",20,NCT04231097,MBCT INTERVENTION FOR ACS PATIENTS,UNITED STATES,Recruiting,Massachusetts General Hospital,"April 24, 2020",Interventional,Mindfulness-Based Cognitive Therapy Delivered Via Group Videoconferencing for Acute Coronary Syndrome Patients With Depressive Symptoms,Unrelated
141,LOWER RESPIRATORY TRACT INFECTION,"February 08, 2021",250,NCT04233268,RAPID PATHOGEN DETECTION,UNITED KINGDOM,Recruiting,Cambridge University Hospitals NHS Foundation Trust,"April 6, 2020",Observational,RASCALS: Rapid Assay for Sick Children With Acute Lung Infection Study,Respiratory
142,PSYCHOSOCIAL PROBLEM,"February 08, 2021",1387,NCT04234815,CETA SHORT SESSION (CSS),UKRAINE,Recruiting,Johns Hopkins Bloomberg School of Public Health,"February 28, 2020",Interventional,Evaluating Impacts of a Brief Psychosocial Workshop for Veterans and Their Families in Ukraine,Unrelated
143,BEHAVIORAL ECONOMICS,"February 08, 2021",225,NCT04237883,STANDARD COMMUNICATION EMAIL,UNITED STATES,Completed,"University of California, Los Angeles","November 1, 2019",Interventional,Effects of Social Comparison Performance Feedback on Primary Care Quality,Unrelated
144,INVASIVE FUNGAL INFECTIONS,"February 08, 2021",50,NCT04240886,FOSMANOGEPIX,BELGIUM,Recruiting,Amplyx Pharmaceuticals,"January 4, 2020",Interventional,"A Phase 2, Open-Label Study to Evaluate the Safety and Efficacy of APX001 in the Treatment of Patients With Invasive Mold Infections Caused by Aspergillus Species or Rare Molds",Unrelated
